Year;Road Name;From Street;To Street;length_(m);PCI Rating;Geom;geo_point_2d
2020;20TH AV;EAST BOULEVARD;MAPLE ST;122;VERY POOR;"{""coordinates"": [[-123.15254043806769, 49.25327096059971], [-123.15251443188356, 49.25328035626306], [-123.15247801385208, 49.25329297066074], [-123.15244127981501, 49.25330516268829], [-123.15240422702475, 49.25331693234905], [-123.1523668568866, 49.2533282895356], [-123.15232919679617, 49.25333920542682], [-123.15229126052645, 49.25334968989904], [-123.15225303571069, 49.253359742968215], [-123.1522145470848, 49.25336936460154], [-123.15217582345197, 49.25337853677035], [-123.15213685107413, 49.25338726039201], [-123.15209764374377, 49.25339555163952], [-123.15205823023925, 49.25340338438862], [-123.15201862158263, 49.25341076761982], [-123.15197880537966, 49.253417692354], [-123.1519388228842, 49.25342416753193], [-123.15189867544666, 49.253430185055954], [-123.1518965467183, 49.25343059263977], [-123.15185836028661, 49.25343573413528], [-123.15181790632069, 49.25344083362174], [-123.15177732723662, 49.2534454655067], [-123.15173663677722, 49.25344962977206], [-123.15169583632056, 49.25345332731533], [-123.15165495062494, 49.25345656530013], [-123.15161396729916, 49.25345933564693], [-123.15157292754203, 49.25346162930632], [-123.15153183138233, 49.25346345527345], [-123.15149069256289, 49.25346481353024], [-123.1514495262036, 49.253465704956355], [-123.15140834329357, 49.253466127738335], [-123.15136714518327, 49.253466073778625], [-123.15132597312677, 49.253465552018454], [-123.15128479964166, 49.253464562493846], [-123.15124366730383, 49.25346309705331], [-123.15120258712984, 49.25346116287869], [-123.15116156049778, 49.253458760867765], [-123.15112060115055, 49.25345589100261], [-123.15107973657281, 49.25345255324733], [-123.15103895302396, 49.253448747620006], [-123.15099827939298, 49.25344448397774], [-123.15095772664145, 49.25343975151202], [-123.15091815121855, 49.253434659745494]], ""type"": ""LineString""}";49.25341733169867, -123.15173600282314
2020;7TH AV;WATERLOO ST;BLENHEIM ST;146;VERY GOOD;"{""coordinates"": [[-123.1797875065202, 49.26597532068337], [-123.17978458685165, 49.26597527395376], [-123.17778128257707, 49.26594343187196]], ""type"": ""LineString""}";49.26595937611688, -123.17878439455119
2020;1ST AV;BALSAM ST;VINE ST;172;GOOD;"{""coordinates"": [[-123.15976937375963, 49.27088998974533], [-123.15740635340774, 49.270851902803834], [-123.157405672912, 49.27085189113761]], ""type"": ""LineString""}";49.2708709407903, -123.15858752333001
2020;33RD AV;COLLINGWOOD ST;BLENHEIM ST;240;VERY POOR;"{""coordinates"": [[-123.18196173822265, 49.24235900488423], [-123.18196043990031, 49.242359001532], [-123.18130283949576, 49.24235632217208], [-123.17934170164101, 49.242349071989906], [-123.1786644998761, 49.242346224536156]], ""type"": ""LineString""}";49.242352652787076, -123.18031311889307
2020;4TH AV;TOLMIE ST;SASAMAT ST;221;VERY POOR;"{""coordinates"": [[-123.21194970482712, 49.26905726900673], [-123.20891330737076, 49.2690116270642], [-123.20891261314316, 49.26901161572615]], ""type"": ""LineString""}";49.26903444281758, -123.21043115897807
2020;29TH AV;TANNER ST;MCHARDY ST;114;FAIR;"{""coordinates"": [[-123.03160284127918, 49.24450200778825], [-123.03160101943769, 49.24450199479376], [-123.03059553143052, 49.244496002071145], [-123.03003741670472, 49.24449298940228], [-123.03003662669221, 49.24449298600961]], ""type"": ""LineString""}";49.24449739437808, -123.0308197345685
2020;62ND AV;ROSS ST;INVERNESS ST;220;FAIR;"{""coordinates"": [[-123.08315176423964, 49.21380928055916], [-123.08314936963326, 49.213809308369264], [-123.08013116036584, 49.21378782086524]], ""type"": ""LineString""}";49.213798573123775, -123.0816414623531
2020;CHURCHILL ST;47TH AV;45TH AV;206;NO DATA;"{""coordinates"": [[-123.14162217972172, 49.22878767575599], [-123.14155844196698, 49.23064022618605]], ""type"": ""LineString""}";49.22971395097102, -123.14159031084435
2020;15TH AV;DUNBAR ST;COLLINGWOOD ST;141;NO DATA;"{""coordinates"": [[-123.18397832659986, 49.258907275921125], [-123.1820457966238, 49.25887733630279], [-123.18204106313922, 49.2588772583064]], ""type"": ""LineString""}";49.25889226943905, -123.18300969483238
2020;45TH AV;GRANVILLE ST;CARTIER ST;117;POOR;"{""coordinates"": [[-123.13972106804104, 49.230613984098845], [-123.13971728650169, 49.23061392570569], [-123.1388812303361, 49.23058251674227], [-123.13811677859204, 49.23055619560987], [-123.13811645440632, 49.23055618520316]], ""type"": ""LineString""}";49.23058449902808, -123.13891878270087
